longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_cat,Actual_price,Predicted_Price
-119.01,36.06,25.0,1505.0,,1392.0,359.0,1.6812,INLAND,2,47700.0,54261.027689759445
-119.46,35.14,30.0,2943.0,,1565.0,584.0,2.5313,INLAND,2,45800.0,124430.91772796452
-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,NEAR BAY,3,500001.0,255694.9582824377
-118.72,34.28,17.0,3051.0,,1705.0,495.0,5.7376,<1H OCEAN,4,218600.0,268208.0103599715
-121.93,36.62,34.0,2351.0,,1063.0,428.0,3.725,NEAR OCEAN,3,278000.0,262975.01360646694
-117.61,34.08,12.0,4427.0,,2400.0,843.0,4.7147,INLAND,4,158700.0,139811.88274638116
-118.02,33.89,36.0,1375.0,,670.0,221.0,5.0839,<1H OCEAN,4,198200.0,290871.00270495296
-118.08,33.92,38.0,1335.0,,1011.0,269.0,3.6908,<1H OCEAN,3,157500.0,228470.4551660749
-122.08,37.39,4.0,2292.0,,1050.0,584.0,4.8036,NEAR BAY,4,340000.0,256712.3644008291
-118.23,34.18,45.0,2332.0,,943.0,339.0,8.1132,<1H OCEAN,5,446600.0,408129.4372256424
-120.37,38.01,30.0,473.0,,242.0,93.0,2.5417,INLAND,2,123200.0,117853.87803288779
-118.12,34.08,35.0,2248.0,,1762.0,622.0,3.0,<1H OCEAN,2,253900.0,177761.60680507222
-117.91,33.76,20.0,4413.0,,4818.0,1063.0,2.8594,<1H OCEAN,2,215100.0,49779.127058324
-119.19,34.2,18.0,3620.0,,3171.0,779.0,3.3409,NEAR OCEAN,3,220500.0,147101.58011047432
-117.98,33.92,27.0,3700.0,,1793.0,552.0,5.3668,<1H OCEAN,4,219800.0,249384.42961343305
-117.91,34.02,22.0,6269.0,,5587.0,1251.0,3.8201,<1H OCEAN,3,136200.0,51825.01161121484
-122.1,37.69,41.0,746.0,,387.0,161.0,3.9063,NEAR BAY,3,178400.0,269176.444726027
-121.02,37.48,26.0,467.0,,244.0,83.0,4.1346,INLAND,3,187500.0,206743.592725577
-117.05,32.75,36.0,2024.0,,1030.0,390.0,3.8233,NEAR OCEAN,3,139800.0,238046.55756830933
-120.97,37.43,27.0,1380.0,,810.0,262.0,2.1875,INLAND,2,137500.0,112451.24771857327
-122.16,37.45,47.0,4234.0,,1808.0,1093.0,4.2297,NEAR BAY,3,425000.0,266002.9935003522
-118.37,34.07,50.0,2519.0,,1117.0,516.0,4.3667,<1H OCEAN,3,405600.0,273082.6216144874
-119.73,36.83,8.0,3602.0,,1959.0,580.0,5.3478,INLAND,4,138800.0,156364.80743149557
-122.39,37.59,32.0,4497.0,,1846.0,715.0,6.1323,NEAR OCEAN,5,500001.0,314474.6513009498
-117.14,32.9,16.0,3217.0,,2054.0,687.0,4.2234,<1H OCEAN,3,162100.0,195018.80021774405
-119.38,36.53,38.0,1281.0,,1423.0,293.0,1.9602,INLAND,2,51400.0,74543.4840255974
-118.36,33.96,26.0,3543.0,,2742.0,951.0,2.5504,<1H OCEAN,2,151300.0,130259.6871982691
-124.13,40.55,38.0,544.0,,240.0,91.0,3.25,<1H OCEAN,3,94800.0,230192.03856148757
-121.98,37.96,22.0,2987.0,,1420.0,540.0,3.65,INLAND,3,204100.0,158731.6732626749
-118.3,33.72,35.0,2790.0,,1167.0,441.0,6.2028,NEAR OCEAN,5,361500.0,332334.9655131644
-122.17,37.75,38.0,992.0,,732.0,259.0,1.6196,NEAR BAY,2,85100.0,166033.15511616005
-118.31,34.03,47.0,1315.0,,785.0,245.0,1.23,<1H OCEAN,1,138400.0,152213.28785932157
-117.23,32.75,5.0,1824.0,,892.0,426.0,3.4286,NEAR OCEAN,3,137500.0,201338.59249079332
-122.08,37.37,29.0,1229.0,,707.0,194.0,7.1108,NEAR BAY,5,465000.0,376526.30790532473
-122.5,37.75,44.0,1819.0,,1137.0,354.0,3.4919,NEAR OCEAN,3,271800.0,248122.00107104404
-118.5,34.46,17.0,10267.0,,4956.0,1483.0,5.5061,<1H OCEAN,4,239400.0,128703.4776754908
-122.39,37.6,34.0,707.0,,381.0,156.0,4.375,NEAR OCEAN,3,340900.0,298828.2469516123
-117.96,34.03,35.0,2093.0,,1755.0,403.0,3.4115,<1H OCEAN,3,150400.0,181617.6323154059
-121.13,38.87,48.0,1127.0,,530.0,186.0,3.0917,INLAND,3,128100.0,147453.84514416897
-118.17,33.98,41.0,756.0,,873.0,212.0,2.7321,<1H OCEAN,2,156000.0,200824.55985623918
-118.75,34.29,17.0,5512.0,,2734.0,814.0,6.6073,<1H OCEAN,5,258100.0,264382.7732342487
-119.45,36.61,24.0,1302.0,,693.0,243.0,3.7917,INLAND,3,90500.0,156577.82178847434
-120.85,37.78,25.0,421.0,,303.0,106.0,2.2679,INLAND,2,71300.0,118886.92718912556
-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,<1H OCEAN,3,219700.0,174738.99160660608
-117.65,34.04,15.0,3393.0,,2039.0,611.0,3.9336,INLAND,3,151000.0,123189.59843718182
-118.43,34.2,28.0,3386.0,,2240.0,737.0,3.0221,<1H OCEAN,3,290100.0,156632.29241953764
-117.03,32.73,34.0,2061.0,,1169.0,400.0,3.5096,NEAR OCEAN,3,142000.0,218385.50078642138
-117.09,32.77,31.0,3062.0,,1263.0,539.0,3.0875,NEAR OCEAN,3,291500.0,196099.8951954941
-118.3,33.73,42.0,1731.0,,866.0,403.0,2.7451,NEAR OCEAN,2,255400.0,219339.62834494255
-124.06,40.86,34.0,4183.0,,1891.0,669.0,3.2216,NEAR OCEAN,3,98100.0,161273.87261661192
-122.91,38.46,18.0,2021.0,,912.0,329.0,4.5,<1H OCEAN,3,251900.0,254915.16629795282
-118.28,34.25,29.0,2559.0,,1886.0,769.0,2.6036,<1H OCEAN,2,162100.0,155952.54243372168
-116.95,32.84,31.0,1307.0,,752.0,231.0,3.4286,<1H OCEAN,3,129400.0,215805.43490740017
-120.4,37.3,28.0,1401.0,,967.0,257.0,1.5917,INLAND,2,89400.0,71687.0466454433
-118.18,34.04,42.0,1670.0,,1997.0,452.0,2.788,<1H OCEAN,2,150500.0,166044.27943077957
-119.33,36.3,11.0,3045.0,,1563.0,516.0,5.4337,INLAND,4,133800.0,181207.3678105235
-117.22,34.11,26.0,2972.0,,1972.0,532.0,2.0388,INLAND,2,80400.0,48475.77515059282
-117.91,34.05,35.0,3189.0,,1727.0,500.0,5.0758,<1H OCEAN,4,211100.0,244612.67668092003
-117.2,32.79,29.0,1213.0,,654.0,246.0,4.5987,NEAR OCEAN,4,255600.0,276234.4467649935
-117.34,33.94,13.0,7910.0,,3382.0,1176.0,5.5563,INLAND,4,214500.0,128064.06914882589
-118.1,33.74,32.0,2035.0,,934.0,512.0,4.2287,NEAR OCEAN,3,500001.0,262092.28357481566
-118.36,34.05,42.0,1372.0,,674.0,271.0,2.8793,<1H OCEAN,2,202100.0,217787.87468657613
-120.93,37.73,14.0,2799.0,,2294.0,596.0,2.6343,INLAND,2,81500.0,57969.08694040487
-124.0,40.92,29.0,1429.0,,672.0,266.0,2.9485,<1H OCEAN,2,98800.0,182083.20714112304
-117.98,33.68,24.0,4177.0,,1704.0,606.0,6.2473,<1H OCEAN,5,281900.0,290077.8931153294
-118.26,33.83,24.0,3059.0,,2064.0,629.0,3.5518,<1H OCEAN,3,184600.0,181469.86710179743
-122.41,38.16,37.0,1549.0,,863.0,275.0,2.7457,NEAR BAY,2,254700.0,197799.18939311785
-121.95,38.03,5.0,5526.0,,3207.0,1012.0,4.0767,INLAND,3,143100.0,93521.85184486894
-118.28,34.06,42.0,2472.0,,3795.0,1179.0,1.2254,<1H OCEAN,1,162500.0,68152.32409615285
-118.17,34.06,43.0,464.0,,416.0,120.0,2.475,<1H OCEAN,2,142600.0,205606.7474773219
-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,INLAND,3,85900.0,10984.496987149876
-122.14,37.67,37.0,3342.0,,1635.0,557.0,4.7933,NEAR BAY,4,186900.0,257200.49252258625
-119.68,36.79,16.0,1551.0,,1010.0,292.0,3.5417,INLAND,3,71300.0,128244.56546830435
-116.91,32.83,16.0,5203.0,,2515.0,862.0,4.105,<1H OCEAN,3,174400.0,164842.87494831887
-118.35,33.9,31.0,1547.0,,956.0,287.0,3.4698,<1H OCEAN,3,225000.0,221478.61211860893
-122.7,38.35,14.0,2313.0,,954.0,397.0,3.7813,<1H OCEAN,3,146500.0,219221.606786115
-122.28,37.51,33.0,4719.0,,1980.0,757.0,6.1064,NEAR OCEAN,5,405000.0,309214.390419095
-117.66,33.51,18.0,2626.0,,1302.0,522.0,4.0167,<1H OCEAN,3,189600.0,211787.13839118273
-118.09,33.89,42.0,991.0,,717.0,219.0,4.0926,<1H OCEAN,3,164400.0,260653.86682151892
-118.46,34.03,52.0,523.0,,317.0,130.0,2.2794,<1H OCEAN,2,337500.0,220258.82995808232
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,INLAND,2,72500.0,97340.53403828797
-117.91,33.87,29.0,1121.0,,762.0,276.0,2.5,<1H OCEAN,2,143800.0,179387.51608279275
-118.27,34.07,27.0,1190.0,,1795.0,422.0,1.7016,<1H OCEAN,2,160000.0,117432.03781670376
-118.27,34.04,13.0,1784.0,,2158.0,682.0,1.7038,<1H OCEAN,2,118100.0,97964.51627456723
-118.27,34.17,52.0,2010.0,,908.0,326.0,6.9135,<1H OCEAN,5,374000.0,372463.71001399675
-117.14,33.16,16.0,1660.0,,733.0,214.0,5.6874,<1H OCEAN,4,202700.0,283165.2699834327
-122.72,38.88,29.0,2781.0,,890.0,310.0,1.9906,INLAND,2,96600.0,107747.23028627061
-121.47,38.61,31.0,1072.0,,781.0,281.0,1.6563,INLAND,2,65800.0,83136.33404300254
-119.18,34.19,19.0,2393.0,,1938.0,762.0,1.6953,NEAR OCEAN,2,167400.0,136866.97671044193
-118.59,34.2,21.0,1789.0,,2300.0,677.0,2.754,<1H OCEAN,2,179800.0,147058.9528218843
-122.22,38.08,37.0,2811.0,,1574.0,516.0,3.1053,NEAR BAY,3,96700.0,185821.06389212376
-121.97,37.34,33.0,3162.0,,1553.0,686.0,3.6682,<1H OCEAN,3,266100.0,227796.92909383037
-117.14,32.71,52.0,500.0,,480.0,108.0,1.8696,NEAR OCEAN,2,91100.0,198559.9891800949
-119.75,36.71,38.0,1481.0,,1543.0,372.0,1.4577,INLAND,1,49800.0,58080.58684475813
-121.3,38.58,16.0,1537.0,,1125.0,375.0,2.6471,INLAND,2,90700.0,90520.19529220625
-117.76,34.04,34.0,1914.0,,1564.0,328.0,2.8347,INLAND,2,115800.0,117087.7821764969
-122.45,37.77,52.0,2602.0,,1330.0,647.0,3.5435,NEAR BAY,3,278600.0,250613.1225518311
-117.15,32.72,51.0,1321.0,,781.0,499.0,1.3071,NEAR OCEAN,1,250000.0,177700.51762725879
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,NEAR BAY,2,85000.0,201312.35913283916
-117.87,33.73,45.0,2264.0,,1970.0,499.0,3.4193,<1H OCEAN,3,177000.0,193567.85309004164
-117.67,34.04,13.0,1543.0,,776.0,358.0,3.0598,INLAND,3,99700.0,134173.85407090216
-117.66,33.58,6.0,4186.0,,1794.0,541.0,9.6986,<1H OCEAN,5,357600.0,393807.49579171377
-117.27,32.85,26.0,1373.0,,608.0,268.0,4.425,NEAR OCEAN,3,475000.0,268275.91338864085
-117.02,32.66,19.0,771.0,,376.0,108.0,6.6272,NEAR OCEAN,5,273600.0,350380.2447338934
-118.05,33.99,38.0,1619.0,,886.0,357.0,3.7328,<1H OCEAN,3,182400.0,234848.17721829202
-117.92,33.87,33.0,1597.0,,1888.0,423.0,3.055,<1H OCEAN,3,157800.0,167216.9207017004
-118.31,34.09,37.0,773.0,,835.0,312.0,1.8576,<1H OCEAN,2,193800.0,169025.14790277634
-118.38,34.05,49.0,702.0,,458.0,187.0,4.8958,<1H OCEAN,4,333600.0,313865.7320327087
-121.95,37.31,27.0,4140.0,,2135.0,893.0,3.6292,<1H OCEAN,3,264600.0,201754.27439818377
-120.98,37.6,36.0,1437.0,,1073.0,320.0,2.1779,INLAND,2,58400.0,110346.68564649808
-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,NEAR BAY,2,173400.0,105066.96283224551
-118.23,34.13,48.0,1308.0,,835.0,294.0,4.2891,<1H OCEAN,3,214800.0,269874.3034322324
